date,600036,600519,002475,600276,601088,HS300
2019-01-02,108.45,3239.61,277.26,1456.63,27.4,2969.54
2019-01-03,109.66,3194.49,263.91,1404.87,27.32,2964.84
2019-01-04,112.13,3254.79,259.26,1494.22,27.7,3035.87
2019-01-07,112.16,3272.33,268.94,1472.97,27.68,3054.3
2019-01-08,110.99,3268.81,272.81,1484.14,28.05,3047.7
2019-01-09,112.87,3325.74,274.36,1526.37,28.1,3078.48
2019-01-10,113.46,3339.05,292.16,1546.53,28.09,3072.69
2019-01-11,115.84,3425.03,289.06,1537.81,28.14,3094.78
2019-01-14,115.25,3368.35,290.42,1493.68,28.25,3067.78
2019-01-15,117.17,3546.13,294.67,1551.16,28.3,3127.99
2019-01-16,117.37,3551.75,292.35,1579.22,28.23,3128.65
2019-01-17,115.88,3542.46,292.35,1576.22,28.08,3111.42
2019-01-18,118.34,3664.86,295.64,1625.53,28.64,3168.17
2019-01-21,119.24,3681.8,295.06,1622.81,29.18,3185.64
2019-01-22,117.87,3601.5,295.45,1585.21,28.89,3143.32
2019-01-23,118.58,3574.67,295.45,1594.2,29.07,3141.05
2019-01-24,121.35,3609.04,295.83,1631.25,29.02,3158.78
2019-01-25,123.9,3645.22,305.12,1620.63,29.1,3184.47
2019-01-28,124.44,3631.65,319.83,1507.03,29.45,3183.78
2019-01-29,124.36,3671.85,318.67,1571.32,29.55,3193.97
2019-01-30,123.5,3626.62,316.34,1577.31,29.26,3168.48
2019-01-31,126.59,3694.96,320.41,1622.26,29.46,3201.63
2019-02-01,126.95,3710.39,326.79,1670.48,29.64,3247.4
2019-02-11,127.3,3874.35,343.24,1698.54,29.62,3306.47
2019-02-12,127.02,3837.26,341.88,1743.49,29.72,3330.34
2019-02-13,129.06,3924.34,342.85,1800.43,29.74,3397.03
2019-02-14,129.14,3933.94,336.85,1806.15,29.65,3402.14
2019-02-15,126.36,3871.73,334.53,1765.01,29.28,3338.7
2019-02-18,129.17,3948.21,356.78,1834.21,29.62,3445.74
2019-02-19,129.21,3901.78,357.94,1809.69,29.37,3439.61
2019-02-20,130.27,3857.76,380.78,1782.99,29.65,3451.93
2019-02-21,130.0,3848.97,378.84,1796.34,29.49,3442.71
