date,600036_600519,600036_002475,600036_600276,600036_601088,600519_002475,600519_600276,600519_601088,002475_600276,002475_601088,600276_601088
2019-01-03,,,,,,,,,,
2019-01-04,,,,,,,,,,
2019-01-07,,,,,,,,,,
2019-01-08,,,,,,,,,,
2019-01-09,,,,,,,,,,
2019-01-10,,,,,,,,,,
2019-01-11,,,,,,,,,,
2019-01-14,,,,,,,,,,
2019-01-15,,,,,,,,,,
2019-01-16,,,,,,,,,,
2019-01-17,,,,,,,,,,
2019-01-18,,,,,,,,,,
2019-01-21,,,,,,,,,,
2019-01-22,,,,,,,,,,
2019-01-23,,,,,,,,,,
2019-01-24,,,,,,,,,,
2019-01-25,,,,,,,,,,
2019-01-28,,,,,,,,,,
2019-01-29,,,,,,,,,,
2019-01-30,,,,,,,,,,
2019-01-31,,,,,,,,,,
2019-02-01,,,,,,,,,,
2019-02-11,,,,,,,,,,
2019-02-12,,,,,,,,,,
2019-02-13,,,,,,,,,,
2019-02-14,,,,,,,,,,
2019-02-15,,,,,,,,,,
2019-02-18,,,,,,,,,,
2019-02-19,,,,,,,,,,
2019-02-20,,,,,,,,,,
2019-02-21,,,,,,,,,,
2019-02-22,,,,,,,,,,
2019-02-25,,,,,,,,,,
2019-02-26,,,,,,,,,,
2019-02-27,,,,,,,,,,
2019-02-28,,,,,,,,,,
2019-03-01,,,,,,,,,,
2019-03-04,,,,,,,,,,
2019-03-05,,,,,,,,,,
2019-03-06,,,,,,,,,,
2019-03-07,,,,,,,,,,
2019-03-08,,,,,,,,,,
2019-03-11,,,,,,,,,,
2019-03-12,,,,,,,,,,
2019-03-13,,,,,,,,,,
2019-03-14,,,,,,,,,,
2019-03-15,,,,,,,,,,
2019-03-18,,,,,,,,,,
2019-03-19,,,,,,,,,,
2019-03-20,,,,,,,,,,
2019-03-21,,,,,,,,,,
2019-03-22,,,,,,,,,,
2019-03-25,,,,,,,,,,
2019-03-26,,,,,,,,,,
2019-03-27,,,,,,,,,,
2019-03-28,,,,,,,,,,
2019-03-29,,,,,,,,,,
2019-04-01,,,,,,,,,,
2019-04-02,,,,,,,,,,
2019-04-03,0.6908489430011803,0.30393197453081827,0.4605946054350088,0.5707524420119284,0.33981812255973565,0.602846243403445,0.42229231840661735,0.1616725008904745,0.4688812033126465,0.2986774243371033
2019-04-04,0.7082327708389821,0.3181404983599361,0.4844591834838898,0.579281280451517,0.30308548274039976,0.5900339805532994,0.4268325297891947,0.0987550764145512,0.4613166433256354,0.29504859222148966
2019-04-08,0.6953395723948126,0.3346289860608324,0.44946880656375177,0.5709387536702691,0.2715664212518048,0.5168267116252392,0.4112698353016093,0.18563491492882775,0.48289646087251686,0.26034381101607007
2019-04-09,0.6848854380012249,0.3494460973590131,0.43239946761612036,0.5801356935972088,0.27469257825984944,0.5189851211174508,0.4088170186598432,0.2009642543158236,0.4942296497600863,0.2517557451462475
2019-04-10,0.6440923767776412,0.35272972008312364,0.431879664010861,0.6060431554490047,0.27232464773040993,0.5146891466356199,0.40620663850393196,0.20142763850875464,0.4957012890534013,0.2525680209214481
2019-04-11,0.6408516451181901,0.36067303122046784,0.42813520247634623,0.6095204061364041,0.3054075524030937,0.5290909415222388,0.4226243531045349,0.23948584989961677,0.5108561882712841,0.27387351731774207
2019-04-12,0.6433584236504819,0.3638420409052942,0.42521696733409314,0.6076574125417369,0.3074088150242423,0.5237559424380975,0.41910677342077984,0.23749224209964023,0.5318056740734085,0.27482769750291286
2019-04-15,0.6373789290404822,0.3824555674896438,0.43824588064683256,0.610599329821856,0.3307989354846275,0.5415540183111431,0.4174565128499106,0.24806009116807065,0.5267698027062808,0.26959113228561304
2019-04-16,0.6479489015622945,0.4148174934618425,0.4425749794992372,0.624403850747662,0.36055555906875414,0.535984977844393,0.44019391259764956,0.26603609824139185,0.5399726204938142,0.291989848137076
2019-04-17,0.645564028541747,0.4093088551707344,0.43675125227244926,0.6278746219915083,0.3703382493393708,0.5081316743200124,0.4537692047956435,0.26211621870274004,0.5357326272974652,0.29809484785854684
2019-04-18,0.6481685630244375,0.4174393155946631,0.44333335409124497,0.6279282176387299,0.3760652881305406,0.5145228450758813,0.45460204462408144,0.2764799716394447,0.5346015338471132,0.3038109652380116
2019-04-19,0.6468451248555499,0.4168879557649318,0.4412867334270244,0.6279347901352917,0.37459657303493116,0.5134601978238318,0.4513369904408109,0.2749615304530813,0.5340345448114844,0.3005771529619639
2019-04-22,0.6289000732620829,0.43632015091130255,0.4665569243409031,0.6359392340109425,0.3835305708200346,0.49778068060447334,0.4318776762445903,0.29824316459297445,0.554473212191229,0.3091606570285193
2019-04-23,0.6303920027914186,0.440760157934892,0.4692349603925484,0.6387065957597675,0.38800283398334745,0.4985542319435436,0.4306985563685468,0.2988301808540563,0.573020081232907,0.3199448300534097
2019-04-24,0.6133263697319685,0.4406574426250691,0.45500289155245693,0.6313424279803386,0.38409317157770834,0.4834908265682915,0.41818768849338,0.2955338505753719,0.572459678177454,0.30712998516640666
2019-04-25,0.6227856680196251,0.44520911391689966,0.44373704067757974,0.6370392451276803,0.3863783004482451,0.4679198650175585,0.4394729778630679,0.290359303209038,0.5795748763187711,0.2937300060495783
2019-04-26,0.6260821894146392,0.4827219910007341,0.45676224290138084,0.6429078217082204,0.3958734305464624,0.47411012601562014,0.44335461684048794,0.3204317632814333,0.5796199973881457,0.30404984722741585
